Method Name,CCM,CND,CDISP,CINT,FDP,HD,HEF,HER,HL,HVC,HVL,LOC,LAA,LND,MMI,MND,CC,NOAV,NOL,NOPM,,,,,,,,,Comments
iscteiul.ista.examplefeature.Task.Task(),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,∞,0,1,0,0,0,,,
iscteiul.ista.examplefeature.Task.Task(String, Instant),0,0,0,0,0,0,1,5,23,2647,0,27,6,6,15,5098,4,1,0,0,78,6317,0,1,3,0,2,
iscteiul.ista.examplefeature.Task.equals(Object),4,1,0,75,3,0,12,6,1605,7166,0,457,30,19,127,4378,11,1,0,0,62,3358,1,5,2,0,1,,
iscteiul.ista.examplefeature.Task.getCreationDate(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.examplefeature.Task.getDescription(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.examplefeature.Task.getDueDate(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.examplefeature.Task.getId(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
iscteiul.ista.examplefeature.Task.hashCode(),0,0,0,5,2,0,0,0,0,0,0,0,5,5,11,6096,8,0,0,0,73,82,0,1,0,0,0,,
iscteiul.ista.examplefeature.Task.setDescription(String),1,1,1,0,1,0,6,75,374,6695,0,173,15,13,55,5066,6,1,0,0,70,7462,1,2,3,0,1,,
iscteiul.ista.examplefeature.Task.setDueDate(LocalDate),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,3,1,0,0,82,3002,0,1,2,0,1,,
iscteiul.ista.examplefeature.TaskRepository.findAllBy(Pageable),0,0,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,0,0,0,N/A,1,N/A,0,1,,,,,
iscteiul.ista.examplefeature.TaskService.TaskService(TaskRepository),0,0,0,0,0,0,0,5,2,3774,0,6,3,3,4,7549,3,1,0,0,85,3765,0,1,2,0,1,,
iscteiul.ista.examplefeature.TaskService.createTask(String, LocalDate),1,1,1,0,4,1,6,6667,506,6667,0,212,19,16,76,0,9,0,5,0,65,9215,1,2,4,0,2,
iscteiul.ista.examplefeature.TaskService.list(Pageable),0,0,1,0,2,0,2,0,39,303,0,39,7,7,19,6515,4,1,0,0,77,9128,0,1,2,0,1,,
iscteiul.ista.examplefeature.ui.TaskListView.TaskListView(TaskService),0,0,0,6897,28,8,27,4286,15229,6516,0,2048,94,60,555,2477,28,0,3333,0,49,2162,0,1,19,0,1,,
iscteiul.ista.examplefeature.ui.TaskListView.createTask(),0,0,1,0,8,2,6,25,547,3027,0,223,21,18,87,5684,8,0,6667,0,66,7195,0,1,6,0,0,,
iscteiul.ista.forex.Forex.getAmount(),0,0,0,0,0,0,1,5,12,0,0,17,4,4,8,0,1,1,0,0,93,6766,0,1,1,0,0,,
iscteiul.ista.forex.Forex.getFromCurrency(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,1,1,0,0,95,7844,0,1,1,0,0,,
iscteiul.ista.forex.Forex.getId(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,2,1,0,0,89,2177,0,1,1,0,0,,
iscteiul.ista.forex.Forex.getResult(),0,0,0,0,0,0,1,5,12,0,0,17,4,4,8,0,1,1,0,0,93,6766,0,1,1,0,0,,
iscteiul.ista.forex.Forex.getTimestamp(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,1,1,0,0,95,7844,0,1,1,0,0,,
iscteiul.ista.forex.Forex.getToCurrency(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,1,1,0,0,95,7844,0,1,1,0,0,,
iscteiul.ista.forex.Forex.setAmount(double),0,0,0,0,0,0,2,0,31,196,0,33,6,6,15,5098,1,1,0,0,91,765,0,1,2,0,1,,
iscteiul.ista.forex.Forex.setFromCurrency(String),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,1,1,0,0,92,7082,0,1,2,0,1,,
iscteiul.ista.forex.Forex.setResult(double),0,0,0,0,0,0,2,0,31,196,0,33,6,6,15,5098,1,1,0,0,91,765,0,1,2,0,1,,
iscteiul.ista.forex.Forex.setTimestamp(LocalDateTime),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,1,1,0,0,92,7082,0,1,2,0,1,,
iscteiul.ista.forex.Forex.setToCurrency(String),0,0,0,0,0,0,1,5,17,4145,0,22,5,5,11,6096,1,1,0,0,92,7082,0,1,2,0,1,,
iscteiul.ista.forex.ForexService.ForexService(ForexRepository),0,0,0,0,0,0,1,0,8,0,0,13,4,4,8,0,3,1,0,0,83,2686,0,1,2,0,1,,
iscteiul.ista.forex.ForexService.convert(String, String, double),0,0,0,4286,7,1,12,75,1763,3467,0,487,32,20,138,3017,12,0,2857,0,61,4753,0,1,8,0,3
iscteiul.ista.forex.ui.ForexView.ForexView(ForexService),3,1,0,9,10,1,13,5,3699,813,0,797,53,36,274,6,21,0,5,0,53,8715,2,5,9,0,1,,
pdf.Pdf.Pdf(),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,∞,0,1,0,0,0,,,
pdf.Pdf.Pdf(String, byte[]),0,0,1,0,1,0,2,0,69,7384,0,56,11,9,34,8692,5,1,0,0,74,293,0,1,5,0,2,
pdf.Pdf.getContent(),0,0,0,0,0,0,1,5,12,0,0,17,4,4,8,0,3,1,0,0,83,2686,0,1,1,0,0,,
pdf.Pdf.getCreatedAt(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
pdf.Pdf.getFilename(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
pdf.Pdf.getId(),0,0,0,0,0,0,1,0,4,7549,0,9,3,3,4,7549,3,1,0,0,85,3765,0,1,1,0,0,,
pdf.PdfService.PdfService(PdfRepository),0,0,0,0,0,0,1,0,8,0,0,13,4,4,8,0,3,1,0,0,83,2686,0,1,2,0,1,,
pdf.PdfService.generateAndSavePdf(String, List<Map<String, String>>),0,0,0,0,0,0,2,5,83,482,0,63,10,10,33,2193,8,1,0,0,69,6674,0,1,5,0,2
pdf.PdfService.generateTasksPdf(List<Map<String, String>>),3,1,0,7143,7,0,13,5,4520,4,0,911,66,38,346,3632,29,0,0,1,50,1342,3,4,11,1,1,
pdf.PdfService.toStream(byte[]),0,0,0,0,0,0,2,0,23,2193,0,27,5,5,11,6096,6,0,0,0,75,7336,0,1,1,0,1,,
ui.PdfView.PdfView(TaskService, PdfService),2,0,0,8421,19,2,19,6364,7483,9243,0,1275,69,46,381,1258,25,0,4,0,51,2859,1,3,12,0,2,
